ID,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus
1.70233E+12,11-12-2023 17:18,11-12-2023 17:28,dwv6o4du8AEh_soF373Jn,0.56
1.70233E+12,11-12-2023 17:18,11-12-2023 17:22,wBvEJXdNpz01GxFyfQhVw,0.66
1.70233E+12,11-12-2023 17:18,11-12-2023 17:26,4DVEMSOu39sAQxb-T5Q5i,0.97
1.70233E+12,11-12-2023 17:23,11-12-2023 17:28,hy4WO4K2VPoOBTwg8KWvc,0.82
1.70233E+12,11-12-2023 17:19,11-12-2023 17:28,d6cC32INijrKgRSgp7p9V,0.53
1.70233E+12,11-12-2023 17:19,11-12-2023 17:28,tgFflwa0-Zd2jor0YSGX1,0.68
1.70233E+12,11-12-2023 17:19,11-12-2023 17:26,oZiXkvcjf9fBMlGxJu2Da,0.57
1.70233E+12,11-12-2023 17:19,11-12-2023 17:26,-OAP3nKWeg-2IzLhZXxv-,0.68
1.70233E+12,11-12-2023 17:19,11-12-2023 17:25,bFIewCDao2sv-mjpQNrzy,0.83
1.70233E+12,11-12-2023 17:19,11-12-2023 17:24,cnC5nwrxfLuptzi50BWsU,0.53
1.70233E+12,11-12-2023 17:19,11-12-2023 17:29,IYco0QbOzMNIBA-JIDd_9,0.72
1.70233E+12,11-12-2023 17:19,11-12-2023 17:24,dg1vdM5mteC-9ITu7KepD,0.63
1.70233E+12,11-12-2023 17:20,11-12-2023 17:23,FnRhNqYD6U5P5EtqUyQl0,0.93
1.70233E+12,11-12-2023 17:20,11-12-2023 17:40,o7-MR1ugOMGuawQXLfcjw,0.92
1.70233E+12,11-12-2023 17:20,11-12-2023 17:35,iycRnrY6UcXJqAgiBTcsB,0.15
1.70233E+12,11-12-2023 17:19,11-12-2023 17:24,bXa9Lla9jCH41OM1IAAZV,0.43
1.70233E+12,11-12-2023 17:19,11-12-2023 17:35,X-5vwHn2aiuymebqfoPRH,1
1.70233E+12,11-12-2023 17:20,11-12-2023 17:28,Hh7Duggcy607854X567kO,0.68
1.70233E+12,11-12-2023 17:20,11-12-2023 17:30,#NAME?,0.98
1.70233E+12,11-12-2023 17:20,11-12-2023 17:27,1yzsCM21IJzeUfdh9e0jM,0.35
1.70233E+12,11-12-2023 17:20,11-12-2023 17:26,96_rdteOeKeyJz_V9LbUO,1
1.70233E+12,11-12-2023 17:20,11-12-2023 17:27,5mIKiWMUgNcXk6F_4gjxE,0.81
1.70233E+12,11-12-2023 17:26,11-12-2023 17:33,E8mwSWSSJnfKn0gFj7oUQ,0.68
1.70233E+12,11-12-2023 17:20,11-12-2023 17:41,P2YKhczh73c3w2JLX1Imn,0.95
1.70233E+12,11-12-2023 17:21,11-12-2023 17:37,4UgB_ZtWfNchsKUJDYwPT,1
1.70233E+12,11-12-2023 17:20,11-12-2023 17:28,qAATjGgx-P1oNoVp3MEjh,0.93
1.70233E+12,11-12-2023 17:20,11-12-2023 17:29,p3bLMNZPj3U9UBdnqVzik,0.8
1.70233E+12,11-12-2023 17:20,11-12-2023 17:30,pG5o_-tolGIKJnPqPf-D4,0.77
1.70233E+12,11-12-2023 17:22,11-12-2023 17:44,zZo15UmNdCiEpAFBAvmEp,1
1.70233E+12,11-12-2023 17:20,11-12-2023 17:27,82FjMpbUtKF8GJBrn2RRC,1
1.70233E+12,11-12-2023 17:20,11-12-2023 17:29,fl4g5ewWfWWQj4IGqx5y9,1
1.70233E+12,11-12-2023 17:21,11-12-2023 17:29,nLVdroOvIwj0CDnkXckyD,0.96
